"nrounds","max_depth","eta","gamma","min_child_weight","subsample","colsample_bytree","RMSE","MAE"
250,9,0.01,0,3,1,0.6,3.1014525179433,2.15967396327427
50,3,0.05,0,3,1,0.6,3.16458837395024,2.13496562412807
150,3,0.05,0,3,1,0.6,2.59406605381778,1.96437236240932
200,3,0.05,0,3,1,0.6,2.83036323652976,2.3162727355957
250,3,0.05,0,3,1,0.6,2.83188049883825,2.17551531110491
50,6,0.05,0,3,1,0.6,3.03796058123098,2.02601569039481
150,6,0.05,0,3,1,0.6,2.78646074167859,2.2158944266183
200,6,0.05,0,3,1,0.6,3.12885271754635,2.5544308253697
250,6,0.05,0,3,1,0.6,2.84877261961951,2.37280763898577
50,9,0.05,0,3,1,0.6,3.17784146166165,2.21234239850725
150,9,0.05,0,3,1,0.6,2.58331191280743,2.00446537562779
200,9,0.05,0,3,1,0.6,2.92413955317478,2.41457366943359
250,9,0.05,0,3,1,0.6,2.7674148637731,2.27602277483259
50,3,0.1,0,3,1,0.6,2.95942071068266,2.09012712751116
150,3,0.1,0,3,1,0.6,2.678949901013,2.1848509652274
200,3,0.1,0,3,1,0.6,3.42831941392584,2.70866012573242
250,3,0.1,0,3,1,0.6,2.78741788458447,2.32926450456892
50,6,0.1,0,3,1,0.6,2.79870464532804,1.98979568481445
150,6,0.1,0,3,1,0.6,2.91661663973838,2.53010559082031
200,6,0.1,0,3,1,0.6,2.96055254600065,2.45367213657924
250,6,0.1,0,3,1,0.6,2.92458616489641,2.3206307547433
50,9,0.1,0,3,1,0.6,2.73457597577919,1.95255443028041
150,9,0.1,0,3,1,0.6,3.25597873067161,2.67636871337891
200,9,0.1,0,3,1,0.6,3.10608808507496,2.61272266932896
250,9,0.1,0,3,1,0.6,3.26409389431982,2.59005410330636
50,3,0.01,0,5,1,0.6,3.82373076959159,2.73084694998605
150,3,0.01,0,5,1,0.6,3.40153180691373,2.32111249651228
200,3,0.01,0,5,1,0.6,3.29064155219986,2.24627794538225
250,3,0.01,0,5,1,0.6,3.18015453925559,2.18147931780134
50,6,0.01,0,5,1,0.6,3.8126591276812,2.73309871128627
150,6,0.01,0,5,1,0.6,3.42350394372943,2.33405358450753
200,6,0.01,0,5,1,0.6,3.29960337964832,2.24220929827009
250,6,0.01,0,5,1,0.6,3.13756708802682,2.15573120117188
50,9,0.01,0,5,1,0.6,3.80427607365589,2.71275384085519
150,9,0.01,0,5,1,0.6,3.35601977664247,2.28371483939035
200,9,0.01,0,5,1,0.6,3.27812412973948,2.21034404209682
250,9,0.01,0,5,1,0.6,3.12539443436382,2.1078360421317
50,3,0.05,0,5,1,0.6,3.10306595765566,2.0957407270159
150,3,0.05,0,5,1,0.6,2.62065586207372,2.02129364013672
200,3,0.05,0,5,1,0.6,2.63972717405279,2.05737141200474
250,3,0.05,0,5,1,0.6,2.71144606178066,2.00363050188337
