"nrounds","max_depth","eta","gamma","min_child_weight","subsample","colsample_bytree","RMSE","MAE"
250,3,0.1,0,5,1,0.6,3.51691944300887,2.98512922014509
50,6,0.1,0,5,1,0.6,5.74395551236476,4.64541789463588
150,6,0.1,0,5,1,0.6,3.89207474688181,3.41714532034738
200,6,0.1,0,5,1,0.6,3.77181192856975,3.22820499965123
250,6,0.1,0,5,1,0.6,4.15505831258224,3.53979764665876
50,9,0.1,0,5,1,0.6,5.65643833312973,4.60749053955078
150,9,0.1,0,5,1,0.6,4.12339951186145,3.63524736676897
200,9,0.1,0,5,1,0.6,3.81248469202622,3.40932028634208
250,9,0.1,0,5,1,0.6,3.84367995813295,3.13810675484794
50,3,0.01,0,1,0.6,0.8,7.64012586028004,5.91527448381696
150,3,0.01,0,1,0.6,0.8,7.13907046588929,5.51831708635603
200,3,0.01,0,1,0.6,0.8,6.91342771258701,5.34448078700474
250,3,0.01,0,1,0.6,0.8,6.70462480445327,5.23321914672852
50,6,0.01,0,1,0.6,0.8,7.63179454891531,5.90576117379325
150,6,0.01,0,1,0.6,0.8,7.12515086293297,5.50549098423549
200,6,0.01,0,1,0.6,0.8,6.87118715549087,5.3126700265067
250,6,0.01,0,1,0.6,0.8,6.70641103713049,5.19786616734096
50,9,0.01,0,1,0.6,0.8,7.61807322431743,5.89842060634068
150,9,0.01,0,1,0.6,0.8,7.14461512163681,5.51693834577288
200,9,0.01,0,1,0.6,0.8,6.88195964498677,5.34921373639788
250,9,0.01,0,1,0.6,0.8,6.68583487890968,5.16274588448661
50,3,0.05,0,1,0.6,0.8,6.64262675094631,5.18664114815848
150,3,0.05,0,1,0.6,0.8,5.09105126449032,4.18941770281111
200,3,0.05,0,1,0.6,0.8,4.69000628224618,3.99991771153041
250,3,0.05,0,1,0.6,0.8,4.62323682169185,4.00309862409319
50,6,0.05,0,1,0.6,0.8,6.68858058627964,5.20083127702986
150,6,0.05,0,1,0.6,0.8,5.08611299076887,4.24549102783203
200,6,0.05,0,1,0.6,0.8,4.92419188987582,4.21603884015764
250,6,0.05,0,1,0.6,0.8,4.47679833697317,3.86531012398856
50,9,0.05,0,1,0.6,0.8,6.6104635491306,5.12279728480748
150,9,0.05,0,1,0.6,0.8,5.24959092287115,4.33585575648716
200,9,0.05,0,1,0.6,0.8,4.75061455599083,4.01988765171596
250,9,0.05,0,1,0.6,0.8,4.50503967508059,3.97915322440011
50,3,0.1,0,1,0.6,0.8,5.92086620892553,4.72857230050223
150,3,0.1,0,1,0.6,0.8,4.04622132208866,3.44303240094866
200,3,0.1,0,1,0.6,0.8,4.0412361672279,3.52994210379464
250,3,0.1,0,1,0.6,0.8,4.32259049749376,3.86476898193359
50,6,0.1,0,1,0.6,0.8,5.69733279402301,4.61426653180804
150,6,0.1,0,1,0.6,0.8,4.15830178421038,3.73259353637695
200,6,0.1,0,1,0.6,0.8,4.30366643892381,3.60061645507812
250,6,0.1,0,1,0.6,0.8,4.3292507011434,3.87845666067941
50,9,0.1,0,1,0.6,0.8,5.66845203868272,4.53427233014788
150,9,0.1,0,1,0.6,0.8,4.15591709207636,3.68842315673828
200,9,0.1,0,1,0.6,0.8,3.97733433186559,3.4447386605399
250,9,0.1,0,1,0.6,0.8,4.26726358062906,3.83714294433594
50,3,0.01,0,3,0.6,0.8,7.63652666023387,5.92255292619978
150,3,0.01,0,3,0.6,0.8,7.18153797002618,5.55872344970703
200,3,0.01,0,3,0.6,0.8,6.96903305504076,5.40830448695591
250,3,0.01,0,3,0.6,0.8,6.70397926640389,5.20783233642578
50,6,0.01,0,3,0.6,0.8,7.65257902540534,5.94243567330497
150,6,0.01,0,3,0.6,0.8,7.14823498101182,5.54131698608398
